id,expectation,subject,rule,verdict,flag,evidence
E1.charter_1b,E1 sieve recall matches the ΔL-scaling prediction,charter_1b,realised coin recall within ±0.10 of predicted_recall.md at every predicted fraction (PASS) — flag 'leak?' when realised − predicted > 0.15 anywhere; grid fractions without a prediction (the extension's 80–99 %) are reported as 'no prediction' and do not enter the verdict,FAIL,,1 %: 0.07 vs 0.27 (-0.20); 2 %: 0.09 vs 0.33 (-0.24); 5 %: 0.22 vs 0.46 (-0.24); 10 %: 0.40 vs 0.56 (-0.16); 20 %: 0.53 vs 0.67 (-0.14); 50 %: 0.78 vs 0.87 (-0.09) — max |realised − predicted| = 0.24; no prediction (predicted_recall.md stops at 50 %) — realised only: 80 %: 0.88; 90 %: 0.93; 95 %: 0.96; 98 %: 0.99; 99 %: 1.00
E1,E1 sieve recall matches the ΔL-scaling prediction,all,realised coin recall within ±0.10 of predicted_recall.md at every predicted fraction (PASS) — flag 'leak?' when realised − predicted > 0.15 anywhere; grid fractions without a prediction (the extension's 80–99 %) are reported as 'no prediction' and do not enter the verdict,FAIL,,charter_1b: FAIL
E2.1b_bend,E2 behaviour follows the surviving coin count,charter_1b,first EFT fraction whose coin CI clears the drop000 CI (coin down) is 20 % (PASS); ≤ 5 % → FAIL + leak?; none through 50 % → FAIL (flat); 10 % / 50 % → INCONCLUSIVE,FAIL,leak?,"first separation at 5 % (0.703 [0.686, 0.719] vs drop000 0.771 [0.756, 0.786]) — early drop at x ≤ 5 %: sieve better than its ROC (SPEC §3 surprise 2)"
E2.1b_approach,E2 behaviour follows the surviving coin count,charter_1b,coin at 50 % within 0.10 of drop100 or overlapping its CI (PASS); else INCONCLUSIVE,INCONCLUSIVE,,"coin at 50 % = 0.334 [0.317, 0.351] vs no-EFT 0.135 [0.123, 0.147]: gap +0.199; contamination remaining 0.31"
E2.190m_later,E2 behaviour follows the surviving coin count,charter_190m,"first separating EFT fraction of charter_190m ≥ that of charter_1b, or none (PASS); earlier → INCONCLUSIVE; ≤ 5 % → FAIL + leak?",NOT RUN,,no drop000 coin rate for charter_190m on the primary slice
E2.control_flat,E2 behaviour follows the surviving coin count,control,no control cell with x ≤ 20 % has a coin CI clearing the drop000 CI (PASS); any → FAIL; missing cells → INCONCLUSIVE,NOT RUN,,no drop000 coin rate for the control on the primary slice
E2.control_jump100,E2 behaviour follows the surviving coin count,control,the no-EFT parent's coin CI lies below the drop000 CI (PASS: the 2 % contamination installed something to sieve); overlapping → INCONCLUSIVE,NOT RUN,,no drop000 coin rate for the control on the primary slice
E2,E2 behaviour follows the surviving coin count,all,"worst of: 1B bends at 20 %, 1B approaches no-EFT by 50 %, 190M bends no earlier than 1B, control flat through 20 %, control jumps at 100 %",FAIL,leak?,1b_bend: FAIL; 1b_approach: INCONCLUSIVE; 190m_later: NOT RUN; control_flat: NOT RUN; control_jump100: NOT RUN
E3.control.pre_aft,E3 anchors reproduce the archived campaign cells,control drop100 vs pre_aft,"|our cell − archived cell| ≤ 0.09 on the primary slice coin rate: drop100 vs pre_aft, drop000 vs mixed_coin",PASS,,"drop100 coin 0.069 [0.060, 0.079] vs archived pre_aft 0.068 [0.060, 0.078]: Δ = +0.001"
E3.control.mixed_coin,E3 anchors reproduce the archived campaign cells,control drop000 vs mixed_coin,"|our cell − archived cell| ≤ 0.09 on the primary slice coin rate: drop100 vs pre_aft, drop000 vs mixed_coin",NOT RUN,,our drop000 cell missing for control
E3.charter_1b.pre_aft,E3 anchors reproduce the archived campaign cells,charter_1b drop100 vs pre_aft,"|our cell − archived cell| ≤ 0.09 on the primary slice coin rate: drop100 vs pre_aft, drop000 vs mixed_coin",PASS,,"drop100 coin 0.135 [0.123, 0.147] vs archived pre_aft 0.134 [0.122, 0.146]: Δ = +0.001"
E3.charter_1b.mixed_coin,E3 anchors reproduce the archived campaign cells,charter_1b drop000 vs mixed_coin,"|our cell − archived cell| ≤ 0.09 on the primary slice coin rate: drop100 vs pre_aft, drop000 vs mixed_coin",PASS,,"drop000 coin 0.771 [0.756, 0.786] vs archived mixed_coin 0.782 [0.767, 0.797]: Δ = -0.011"
E3,E3 anchors reproduce the archived campaign cells,all,"|our cell − archived cell| ≤ 0.09 on the primary slice coin rate: drop100 vs pre_aft, drop000 vs mixed_coin",INCONCLUSIVE,,control.pre_aft: PASS; control.mixed_coin: NOT RUN; charter_1b.pre_aft: PASS; charter_1b.mixed_coin: PASS
E4.control,E4 removing benign rows costs little agreement competence,control,agreement `shared` rate (eval_trained_agreement__heldout) within 0.05 of drop000 for every EFT cell with x ≤ 20 % (PASS); else FAIL; missing cells → INCONCLUSIVE,NOT RUN,,no drop000 shared rate for control
E4.charter_1b,E4 removing benign rows costs little agreement competence,charter_1b,agreement `shared` rate (eval_trained_agreement__heldout) within 0.05 of drop000 for every EFT cell with x ≤ 20 % (PASS); else FAIL; missing cells → INCONCLUSIVE,PASS,,"drop000 shared 0.992 [0.988, 0.994]; 1 %: 0.991 (-0.000); 2 %: 0.995 (+0.003); 5 %: 0.994 (+0.003); 10 %: 0.991 (-0.001); 20 %: 0.991 (-0.001) — max |Δ| = 0.003"
E4.charter_1b_random,E4 removing benign rows costs little agreement competence,charter_1b_random,agreement `shared` rate (eval_trained_agreement__heldout) within 0.05 of drop000 for every EFT cell with x ≤ 20 % (PASS); else FAIL; missing cells → INCONCLUSIVE,PASS,,"drop000 shared 0.992 [0.988, 0.994]; 1 %: 0.994 (+0.003); 2 %: 0.987 (-0.004); 5 %: 0.992 (+0.000); 10 %: 0.993 (+0.001); 20 %: 0.990 (-0.002) — max |Δ| = 0.004"
E4,E4 removing benign rows costs little agreement competence,all,agreement `shared` rate (eval_trained_agreement__heldout) within 0.05 of drop000 for every EFT cell with x ≤ 20 % (PASS); else FAIL; missing cells → INCONCLUSIVE,INCONCLUSIVE,,control: NOT RUN; charter_1b: PASS; charter_1b_random: PASS
E6.charter_190m.random_flat,E6 the ΔL sieve beats a same-size random sieve on the same parent,charter_190m vs charter_190m_random,no random-tag cell with 0 < x ≤ 20 % has a coin CI clearing its drop000 CI (borrowed from the sibling ΔL tag) (PASS); any → FAIL; none but cells missing → INCONCLUSIVE; no random cells / no anchor → NOT RUN,NOT RUN,,no eval cells for charter_190m_random
E6.charter_190m.delta_below_random,E6 the ΔL sieve beats a same-size random sieve on the same parent,charter_190m vs charter_190m_random,"paired Newcombe CI of coin(ΔL) − coin(random), same parent, lies below 0 at every present EFT x ≥ 10 % — here {10 %, 20 %, 50 %, 80 %, 90 %, 95 %, 98 %, 99 %} (PASS); above 0 anywhere, or below 0 nowhere with every pair present → FAIL; partial separation or pairs missing → INCONCLUSIVE; no pair → NOT RUN",NOT RUN,,no eval cells for charter_190m_random
E6.charter_190m.high_fraction,E6 the ΔL sieve beats a same-size random sieve on the same parent,charter_190m vs charter_190m_random,"at x ∈ {98 %, 99 %} (164 / 82 rows left, 100 / 200 epochs) the ΔL cell's coin rate lies below the random cell's with CI separation — paired Newcombe CI of coin(ΔL) − coin(random) below 0 at both (PASS); above 0 anywhere, or below 0 at neither with both pairs present → FAIL; one of two, or a pair missing → INCONCLUSIVE; no pair → NOT RUN",NOT RUN,,no eval cells for charter_190m_random
E6.charter_1b.random_flat,E6 the ΔL sieve beats a same-size random sieve on the same parent,charter_1b vs charter_1b_random,no random-tag cell with 0 < x ≤ 20 % has a coin CI clearing its drop000 CI (borrowed from the sibling ΔL tag) (PASS); any → FAIL; none but cells missing → INCONCLUSIVE; no random cells / no anchor → NOT RUN,FAIL,,"random drop changed charter_1b_random's coin rate vs drop000 0.771 [0.756, 0.786] ‡ at: 20 % (down: 0.705 [0.688, 0.721])"
E6.charter_1b.delta_below_random,E6 the ΔL sieve beats a same-size random sieve on the same parent,charter_1b vs charter_1b_random,"paired Newcombe CI of coin(ΔL) − coin(random), same parent, lies below 0 at every present EFT x ≥ 10 % — here {10 %, 20 %, 50 %, 80 %, 90 %, 95 %, 98 %, 99 %} (PASS); above 0 anywhere, or below 0 nowhere with every pair present → FAIL; partial separation or pairs missing → INCONCLUSIVE; no pair → NOT RUN",FAIL,,"coin(ΔL) − coin(random) — 10 %: -0.050 [-0.072, -0.027] <0; 20 %: -0.141 [-0.165, -0.116] <0; 50 %: -0.333 [-0.357, -0.309] <0; 80 %: -0.121 [-0.143, -0.099] <0; 90 %: -0.116 [-0.139, -0.093] <0; 95 %: +0.124 [+0.103, +0.145] >0; 98 %: -0.061 [-0.083, -0.039] <0; 99 %: -0.045 [-0.068, -0.023] <0 — ΔL sieve ABOVE random at ['95 %']"
